id,uname,pwd,name,phone,email,address,is_vip,is_valid
65,qinjie,ue7iDeyn,霍雪,14538746690,taozhao@example.com,甘肃省霞县上街荆门街w座 301980,否,否
66,yiyang,QiW9LRqo,周凤英,13693508406,jie05@example.org,湖北省沈阳县永川张路j座 167726,是,否
67,leibai,9Q6mIoy7,曹平,13362387166,fang41@example.org,台湾省龙县城东福州路L座 693981,是,否
68,yong43,i4ZWelBf,任慧,15563231978,na34@example.net,湖南省拉萨市南湖广州路Q座 786920,是,否
69,edai,K0g4mBui,傅建平,15244792952,gang73@example.com,天津市六安县金平黄街U座 464565,是,否
70,lxiong,73Y0HpeJ,覃桂兰,15091558726,wangjuan@example.net,山西省阜新县房山海门街M座 313762,是,否
71,yongxiong,D79nRWrf,汪建华,13141951584,yshi@example.net,山东省宁德市东城石家庄路n座 323399,否,否
72,yangzhu,3SQeANNa,汪辉,15536834706,longli@example.net,新疆维吾尔自治区佛山县涪城张路M座 229341,是,否
73,khu,5UqlwVlu,王淑兰,13667530863,juanwu@example.net,福建省长春市花溪潜江街j座 248618,否,否
74,yan24,0BKaGauG,韩健,15239550176,minma@example.org,新疆维吾尔自治区永安市江北辽阳路V座 167165,否,否
75,juan22,0943SIlJ,闻秀梅,13693882262,fufang@example.net,湖北省明县沙湾崔街K座 600272,是,否
76,juanma,B9rgLfzQ,杨淑华,13932155118,fzou@example.com,湖北省沈阳市锡山北京街a座 526963,是,否
77,heyan,UyV6tZBe,龙晶,14502940149,pxiong@example.com,澳门特别行政区南宁县六枝特杜路a座 946234,否,否
78,jie14,S8JvBjOv,宋畅,18081028435,mmo@example.org,重庆市南宁市六枝特合山路k座 303880,否,否
79,phe,03UHL6ip,吕玉华,15910149734,uqian@example.com,浙江省上海市闵行阜新街s座 878983,是,否
80,rliao,7WoVVuv9,张飞,18253437974,hdeng@example.com,云南省柳市龙潭南昌路t座 620769,是,否
81,fang47,GvzKo3Ix,赵亮,13728761055,mengli@example.net,山西省佛山县沈河刘路h座 344680,否,否
82,gyin,58QuLJpz,陈燕,18085302774,shaoqiang@example.net,上海市丽华市璧山济南街f座 835906,是,否
83,yankong,8dQRVgmT,侯帅,18822024223,fgao@example.com,广西壮族自治区南京县海陵罗街K座 987658,是,否
84,rmao,L2Nc60e9,邓成,13401128403,yong53@example.net,浙江省六安县清河长沙路v座 291961,是,否
85,xiulanye,d9LIuoXv,鞠杰,18831240322,afan@example.org,河南省建军县锡山张街b座 841349,否,否
86,gang03,s7cONCoG,郭利,13863573031,vma@example.com,陕西省重庆县和平杜路l座 478388,是,否
87,jinghu,6SxXnlLh,李强,15377139501,vgao@example.com,山东省想县白云重庆街t座 710529,否,否
88,jun49,82SuJtq2,陈桂英,14526694921,qiangshen@example.org,香港特别行政区丹市蓟州傅街G座 264353,否,否
89,yong47,a1T9Gt8l,李琳,13078165276,wujie@example.org,上海市飞县沈北新合肥街u座 224682,是,否
90,mindeng,0e4pUHot,沈洁,13075727272,jing66@example.com,甘肃省淑华县南溪张街q座 569790,否,否
91,cmeng,Ci6o5Bxj,张春梅,13630956434,yong41@example.net,吉林省建县合川汕尾街m座 754740,否,否
92,mingdai,u7KsTSeb,朱旭,13347775661,guiying68@example.net,青海省强县西峰张路s座 833909,否,否
93,malei,1YsKARfQ,钟春梅,15998927976,leizhang@example.org,宁夏回族自治区武汉市沙湾北镇街A座 816746,否,否
94,guiying83,XF7jy7Sy,李璐,13006364908,ilai@example.net,云南省阳县海港武汉街b座 778757,否,否
95,syang,B42OnlGg,柳璐,13947523047,chaoliu@example.com,台湾省涛市蓟州银川街e座 271327,否,否
96,juanhao,R7hKywtb,颜兰英,13507438119,shijing@example.org,江西省关岭市静安柯街v座 102343,是,否
97,mingdu,crF6OlM7,刘玉珍,13447975913,jie53@example.com,广东省通辽县沈北新北京路d座 420004,是,否
98,min39,dC5Zd3SS,孟佳,13757763952,zhangna@example.com,甘肃省佛山市友好王街t座 298976,否,否
99,lei80,GPhP2Ft4,李玉珍,14521833776,chao68@example.com,贵州省岩市大兴戴街b座 726598,否,否
